Stocks,Returns
A2M,0.06643758901292326
AGL,-0.018698638126414382
ALL,0.01284084734187134
ALQ,-0.009821344137684443
ALU,0.04422764218318846
ALX,-0.0021308132250890954
AMC,0.008358436907241792
AMP,-0.064473713545372
ANN,0.01935865800686655
ANZ,-0.04165944250709107
APA,0.020384858843037396
APT,0.12337145195085394
AST,0.019864506002833904
ASX,0.030701786948616125
AWC,-0.028666417817947085
AZJ,0.019258928467579123
BEN,-0.051861819146516816
BHP,-0.0013063176348665079
BLD,-0.07952511780586005
BOQ,-0.07039353343008721
BPT,-0.00937932801679385
BSL,-0.022778383070537117
BXB,0.013457963301872128
CAR,0.024591950337434026
CBA,-0.012839129412193687
CCL,0.008525612471177904
CGF,-0.07536682613713896
CHC,-0.0002972634301276478
CIM,-0.06923382638735029
COH,0.007074756192198328
COL,0.04405370570136326
CPU,-0.06288599747536111
CSL,0.05555431088986325
CTX,-0.0014942426680204374
CWN,-0.0406444336573307
CWY,0.016062416669876026
DMP,0.03720773576382641
DOW,-0.08259068135115771
DXS,-0.012480834101906632
EVN,0.015385573648123374
FBU,-0.032621501178319606
FLT,-0.13017465711997253
FMG,0.14103165355671726
FPH,0.10498104392345371
GMG,0.013571849148594647
GOZ,-0.033603613872153645
GPT,-0.04122690781294629
HVN,0.012297611346912984
IAG,-0.01135472908140514
IEL,0.05148131857777716
ILU,0.0049047735256005365
IPL,-0.057905798504999675
JBH,0.04033113863972293
JHX,0.030884677404627955
LLC,0.0016355706060438707
MFG,0.08856626888490297
MGR,-0.00025827599539046675
MPL,0.01603316893804893
MQG,-0.023668049714619
NAB,-0.04259911336046421
NCM,0.01826203418148055
NST,0.0336774690706384
ORG,-0.03472819599096891
ORI,-0.0008077265195046007
OSH,-0.11069386988249601
QAN,-0.04159581800661834
QBE,-0.009312344429639352
QUB,-0.0043508977953167355
REA,0.00875800412387008
RHC,-0.0019363392797985685
RIO,0.029051445913753873
RMD,0.055316046129535765
S32,-0.06415304229981983
SAR,0.03689302619713779
SCG,-0.090235415424811
SEK,-0.007479326397760236
SGP,-0.028694470011356263
SGR,-0.06333127647784997
SHL,0.01672358564979122
SKI,-0.006282049289430824
SOL,-0.03229708044941895
SPK,0.01204428869519672
STO,-0.033482008661102444
SUN,-0.03512744899429056
SVW,0.00034657020217311596
SYD,0.006000864152398949
TAH,-0.05642109020774648
TCL,0.01467452703405546
TLS,0.013820289885682832
TPM,0.012895334995740554
TWE,-0.031343503965767794
VCX,-0.09580539348296623
VEA,-0.029303053124636227
WBC,-0.0499298268357984
WES,0.012532497519683841
WOR,-0.05723744168576887
WOW,0.030355497472554144
WPL,-0.05891070953724807
WTC,0.019535854677412853
XRO,0.06931243453586675
